Datum,Lokalzeit,Last [kW],Globalstrahlung [W/m2],Lufttemperatur [°C]
01.01.2021,00:15:00,53403.2,0,-0.7
01.01.2021,00:30:00,52923.44,0,-0.7
01.01.2021,00:45:00,52569.89,0,-0.7
01.01.2021,01:00:00,51653.21,0,-0.7
01.01.2021,01:15:00,50883.41,0,-0.4
01.01.2021,01:30:00,49759.32,0,-0.4
01.01.2021,01:45:00,48946.91,0,-0.4
01.01.2021,02:00:00,48588.2,0,-0.4
01.01.2021,02:15:00,48829.36,0,-0.3
01.01.2021,02:30:00,48706.76,0,-0.3
01.01.2021,02:45:00,47914.84,0,-0.3
01.01.2021,03:00:00,46337.2,0,-0.3
01.01.2021,03:15:00,47493.38,0,-0.1
01.01.2021,03:30:00,46363.88,0,-0.1
01.01.2021,03:45:00,45680.5,0,-0.1
01.01.2021,04:00:00,45146.93,0,-0.1
01.01.2021,04:15:00,45374.75,0,0.1
01.01.2021,04:30:00,44383.87,0,0.1
01.01.2021,04:45:00,44880.61,0,0.1
01.01.2021,05:00:00,44249.84,0,0.1
01.01.2021,05:15:00,44278.54,0,0.2
01.01.2021,05:30:00,44181.02,0,0.2
01.01.2021,05:45:00,44839.88,0,0.2
01.01.2021,06:00:00,44902.08,0,0.2
01.01.2021,06:15:00,44984.39,0,0.2
01.01.2021,06:30:00,45529.3,0,0.2
01.01.2021,06:45:00,44821.6,0,0.2
01.01.2021,07:00:00,45138.84,0,0.2
01.01.2021,07:15:00,44225.62,0,0.3
01.01.2021,07:30:00,44398.31,0,0.3
01.01.2021,07:45:00,44257.07,0,0.3
01.01.2021,08:00:00,43857.55,0,0.3
01.01.2021,08:15:00,43678.5,10,0.4
01.01.2021,08:30:00,42850.37,10,0.4
01.01.2021,08:45:00,42545.07,10,0.4
01.01.2021,09:00:00,42710.28,10,0.4
01.01.2021,09:15:00,43062.87,45,0.6
01.01.2021,09:30:00,42452.4,45,0.6
01.01.2021,09:45:00,42666.17,45,0.6
01.01.2021,10:00:00,43032.32,45,0.6
01.01.2021,10:15:00,42839.68,135,1.3
01.01.2021,10:30:00,42572.71,135,1.3
01.01.2021,10:45:00,43247.66,135,1.3
01.01.2021,11:00:00,43369.13,135,1.3
01.01.2021,11:15:00,43031.68,60,1.8
01.01.2021,11:30:00,43507.96,60,1.8
01.01.2021,11:45:00,44795.35,60,1.8
01.01.2021,12:00:00,44894.98,60,1.8
01.01.2021,12:15:00,44931.12,48.3,2.1
01.01.2021,12:30:00,46175.72,48.3,2.1
01.01.2021,12:45:00,44893.58,48.3,2.1
01.01.2021,13:00:00,44642.24,48.3,2.1
01.01.2021,13:15:00,44712.36,60,2
01.01.2021,13:30:00,44242.12,60,2
01.01.2021,13:45:00,44871.83,60,2
01.01.2021,14:00:00,44138.16,60,2
01.01.2021,14:15:00,44539.54,26.7,1.9
01.01.2021,14:30:00,43910.84,26.7,1.9
01.01.2021,14:45:00,43991.36,26.7,1.9
01.01.2021,15:00:00,44159.5,26.7,1.9
01.01.2021,15:15:00,44477.38,25,2.1
01.01.2021,15:30:00,44969.77,25,2.1
01.01.2021,15:45:00,45233.94,25,2.1
01.01.2021,16:00:00,45090.56,25,2.1
01.01.2021,16:15:00,46054.01,0,1.9
01.01.2021,16:30:00,46985.59,0,1.9
01.01.2021,16:45:00,49095.71,0,1.9
01.01.2021,17:00:00,51411.05,0,1.9
